fonema,tipo_trazo,grosor,angulo,orientacion,sentido,
re,recto,delgado,315,N/A,ascendente,
rre,recto,grueso,315,N/A,ascendente,
le,curvo,delgado,300,izquierda,ascendente,
lle,curvo,grueso,300,izquierda,ascendente,
te,recto,delgado,90,N/A,descendente,
de,recto,grueso,90,N/A,descendente,
pe,recto,delgado,45,N/A,descendente,
be,recto,grueso,45,N/A,descendente,
che,recto,delgado,135,N/A,descendente,
je,recto,grueso,135,N/A,descendente,
fe,curvo,delgado,70,derecha,descendente,
ve,curvo,grueso,70,derecha,descendente,
er,curvo,delgado,90,izquierda,descendente,
el,curvo,delgado,60,derecha,descendente,
es,curvo,delgado,90,derecha,descendente,
que,recto,delgado,180,N/A,horizontal,
gue,recto,grueso,180,N/A,horizontal,
me,curvo,delgado,180,arco hacia abajo,horizontal,
ne,curvo,delgado,180,arco hacia arriba,horizontal,
ñe,curvo,grueso,180,arco hacia arriba,horizontal,
ze,curvo,delgado,90,izquierda,descendente,
